Position,Value,Nucleosome_Distance,Centromere_Distance
1,1.0,566,-114442
2,1.5,565,-114441
3,2.0,564,-114440
4,1.0,563,-114439
5,1.0,562,-114438
6,1.0,561,-114437
7,0.0,560,-114436
8,0.0,559,-114435
9,1.0,558,-114434
10,0.0,557,-114433
11,2.0,556,-114432
12,0.0,555,-114431
13,0.0,554,-114430
14,0.0,553,-114429
15,0.0,552,-114428
16,1.0,551,-114427
17,1.0,550,-114426
18,0.0,549,-114425
19,1.0,548,-114424
20,0.0,547,-114423
21,0.0,546,-114422
22,0.0,545,-114421
23,0.0,544,-114420
24,0.0,543,-114419
25,0.0,542,-114418
26,0.0,541,-114417
27,0.0,540,-114416
28,0.0,539,-114415
29,1.0,538,-114414
30,0.0,537,-114413
31,3.0,536,-114412
32,0.0,535,-114411
33,0.0,534,-114410
34,0.0,533,-114409
35,4.5,532,-114408
36,2.5,531,-114407
37,6.5,530,-114406
38,0.0,529,-114405
39,2.5,528,-114404
40,0.0,527,-114403
41,0.0,526,-114402
42,1.0,525,-114401
43,0.0,524,-114400
44,0.0,523,-114399
45,0.0,522,-114398
46,0.0,521,-114397
47,0.0,520,-114396
48,0.0,519,-114395
49,0.0,518,-114394
50,1.0,517,-114393
51,1.0,516,-114392
52,0.0,515,-114391
53,1.0,514,-114390
54,1.0,513,-114389
55,0.0,512,-114388
56,0.0,511,-114387
57,1.0,510,-114386
58,1.0,509,-114385
59,0.0,508,-114384
60,0.0,507,-114383
61,1.6,506,-114382
62,0.0,505,-114381
63,2.0,504,-114380
64,0.0,503,-114379
65,2.0,502,-114378
66,1.6666666666666667,501,-114377
67,0.0,500,-114376
68,0.0,499,-114375
69,1.0,498,-114374
70,0.0,497,-114373
71,0.0,496,-114372
72,0.0,495,-114371
73,1.0,494,-114370
74,3.5,493,-114369
75,0.0,492,-114368
76,0.0,491,-114367
77,1.0,490,-114366
78,0.0,489,-114365
79,0.0,488,-114364
80,0.0,487,-114363
81,0.0,486,-114362
82,0.0,485,-114361
83,0.0,484,-114360
84,0.0,483,-114359
85,1.0,482,-114358
86,12.0,481,-114357
87,5.25,480,-114356
88,0.0,479,-114355
89,0.0,478,-114354
90,1.5,477,-114353
91,2.3333333333333335,476,-114352
92,1.0,475,-114351
93,1.0,474,-114350
94,1.0,473,-114349
95,3.0,472,-114348
96,2.0,471,-114347
97,1.0,470,-114346
98,0.0,469,-114345
99,1.0,468,-114344
100,0.0,467,-114343
