Position,Value,Nucleosome_Distance,Centromere_Distance
3,1,38,150884
25,1,16,150862
32,2,9,150855
40,116,1,150847
48,16,7,150839
64,2,23,150823
73,1,32,150814
76,70,35,150811
81,132,40,150806
84,3,43,150803
88,352,47,150799
89,28,48,150798
90,1,49,150797
91,61,50,150796
92,44,51,150795
93,12,52,150794
94,37,53,150793
96,3,55,150791
97,2,56,150790
100,35,59,150787
114,40,73,150773
118,1,77,150769
121,40,80,150766
127,57,86,150760
148,15,107,150739
172,7,131,150715
173,27,132,150714
182,2,141,150705
183,104,142,150704
191,6,150,150696
195,12,154,150692
214,4,173,150673
218,1,177,150669
223,5,182,150664
224,1,183,150663
226,4,185,150661
234,1,183,150653
246,5,171,150641
255,1,162,150632
261,4,156,150626
267,25,150,150620
269,88,148,150618
271,14,146,150616
272,6,145,150615
273,96,144,150614
275,5,142,150612
276,27,141,150611
277,8,140,150610
278,9,139,150609
279,5,138,150608
280,112,137,150607
283,5,134,150604
286,12,131,150601
288,12,129,150599
290,2,127,150597
291,20,126,150596
292,2,125,150595
295,2,122,150592
296,5,121,150591
299,1,118,150588
300,1,117,150587
301,2,116,150586
302,42,115,150585
305,2,112,150582
308,14,109,150579
311,14,106,150576
313,10,104,150574
316,13,101,150571
318,7,99,150569
319,12,98,150568
322,15,95,150565
326,9,91,150561
327,10,90,150560
328,13,89,150559
329,8,88,150558
330,20,87,150557
332,7,85,150555
333,15,84,150554
334,7,83,150553
335,8,82,150552
336,3,81,150551
339,12,78,150548
340,18,77,150547
342,8,75,150545
343,2,74,150544
344,10,73,150543
345,4,72,150542
346,3,71,150541
347,19,70,150540
349,12,68,150538
350,10,67,150537
351,2,66,150536
353,9,64,150534
354,3,63,150533
355,8,62,150532
356,9,61,150531
357,2,60,150530
358,6,59,150529
362,7,55,150525
364,5,53,150523
367,6,50,150520
370,4,47,150517
374,1,43,150513
375,6,42,150512
377,7,40,150510
378,4,39,150509
380,7,37,150507
382,1,35,150505
383,11,34,150504
384,7,33,150503
386,1,31,150501
388,11,29,150499
391,1,26,150496
392,17,25,150495
397,6,20,150490
399,5,18,150488
400,1,17,150487
401,2,16,150486
404,2,13,150483
410,1,7,150477
411,1,6,150476
412,10,5,150475
426,1,9,150461
432,1,15,150455
433,14,16,150454
434,5,17,150453
441,6,24,150446
443,2,26,150444
445,6,28,150442
460,1,43,150427
470,2,53,150417
485,2,68,150402
493,3,76,150394
512,3,65,150375
516,4,61,150371
523,1,54,150364
531,2,46,150356
536,3,41,150351
545,3,32,150342
550,4,27,150337
558,47,19,150329
593,1,16,150294
639,12,62,150248
646,1,69,150241
655,5,66,150232
678,38,43,150209
685,1,36,150202
699,3,22,150188
706,8,15,150181
713,16,8,150174
718,17,3,150169
726,7,5,150161
736,2,15,150151
743,13,22,150144
748,2,27,150139
752,1,31,150135
755,1,34,150132
766,5,45,150121
784,3,63,150103
792,20,71,150095
805,6,60,150082
810,1,55,150077
817,1,48,150070
822,1,43,150065
825,9,40,150062
827,5,38,150060
828,8,37,150059
830,4,35,150057
833,2,32,150054
836,9,29,150051
837,7,28,150050
838,4,27,150049
839,9,26,150048
842,4,23,150045
843,1,22,150044
847,6,18,150040
852,8,13,150035
854,5,11,150033
855,1,10,150032
856,2,9,150031
859,2,6,150028
863,3,2,150024
865,4,0,150022
869,33,4,150018
871,6,6,150016
873,2,8,150014
875,14,10,150012
881,1,16,150006
889,7,24,149998
894,4,29,149993
899,20,34,149988
900,15,35,149987
903,2,38,149984
904,12,39,149983
905,4,40,149982
918,1,53,149969
937,16,72,149950
948,2,77,149939
951,2,74,149936
954,4,71,149933
968,3,57,149919
976,2,49,149911
977,1,48,149910
985,10,40,149902
1012,1,13,149875
1019,11,6,149868
1024,8,1,149863
1029,5,4,149858
1032,1,7,149855
1037,3,12,149850
1047,3,22,149840
1056,7,31,149831
1063,10,38,149824
1074,1,49,149813
1077,3,52,149810
1079,19,54,149808
1089,37,64,149798
1092,1,67,149795
1100,2,75,149787
1125,9,60,149762
1138,1,47,149749
1150,1,35,149737
1153,5,32,149734
1159,12,26,149728
1162,2,23,149725
1164,5,21,149723
1165,1,20,149722
1169,1,16,149718
1170,16,15,149717
1181,2,4,149706
1201,3,16,149686
1207,80,22,149680
1250,1,65,149637
1253,5,68,149634
1257,10,72,149630
1303,1,42,149584
1307,3,38,149580
1312,11,33,149575
1320,15,25,149567
1326,1,19,149561
