Position,Value,Nucleosome_Distance,Centromere_Distance
20,2,213,555995
59,1,174,555956
63,5,170,555952
64,1,169,555951
65,1,168,555950
66,6,167,555949
68,9,165,555947
70,8,163,555945
72,4,161,555943
73,15,160,555942
76,3,157,555939
77,13,156,555938
80,1,153,555935
84,1,149,555931
88,20,145,555927
92,3,141,555923
97,1,136,555918
98,3,135,555917
100,9,133,555915
108,2,125,555907
109,1,124,555906
110,2,123,555905
114,2,119,555901
116,3,117,555899
118,2,115,555897
119,3,114,555896
123,4,110,555892
127,22,106,555888
129,4,104,555886
132,4,101,555883
137,4,96,555878
139,1,94,555876
140,5,93,555875
144,2,89,555871
150,1,83,555865
154,4,79,555861
158,2,75,555857
159,2,74,555856
161,3,72,555854
164,2,69,555851
168,1,65,555847
172,1,61,555843
175,1,58,555840
179,1,54,555836
180,2,53,555835
182,1,51,555833
183,3,50,555832
185,3,48,555830
188,2,45,555827
189,3,44,555826
192,2,41,555823
198,2,35,555817
236,1,3,555779
277,1,44,555738
286,1,53,555729
289,2,56,555726
292,1,59,555723
305,3,72,555710
311,3,78,555704
315,1,78,555700
322,5,71,555693
333,6,60,555682
337,1,56,555678
339,2,54,555676
343,12,50,555672
346,7,47,555669
368,2,25,555647
378,1,15,555637
383,3,10,555632
401,3,8,555614
426,1,33,555589
436,1,43,555579
446,2,53,555569
448,1,55,555567
452,2,59,555563
457,1,64,555558
458,15,65,555557
467,1,70,555548
470,7,67,555545
511,4,26,555504
514,2,23,555501
516,1,21,555499
522,1,15,555493
526,9,11,555489
537,5,0,555478
541,4,4,555474
545,5,8,555470
548,3,11,555467
555,2,18,555460
575,34,38,555440
593,31,56,555422
595,10,58,555420
597,1,60,555418
602,1,65,555413
604,2,67,555411
612,1,69,555403
613,9,68,555402
619,1,62,555396
629,1,52,555386
634,1,47,555381
642,1,39,555373
651,3,30,555364
657,1,24,555358
663,1,18,555352
676,2,5,555339
677,9,4,555338
688,2,7,555327
694,2,13,555321
700,1,19,555315
702,1,21,555313
703,1,22,555312
705,1,24,555310
760,5,79,555255
771,1,70,555244
777,2,64,555238
780,2,61,555235
791,1,50,555224
813,1,28,555202
814,1,27,555201
823,8,18,555192
825,3,16,555190
837,8,4,555178
847,1,6,555168
851,9,10,555164
859,1,18,555156
875,3,34,555140
876,1,35,555139
891,3,50,555124
900,1,59,555115
916,7,69,555099
930,1,55,555085
938,1,47,555077
943,1,42,555072
947,1,38,555068
959,2,26,555056
963,2,22,555052
971,2,14,555044
977,11,8,555038
986,1,1,555029
990,1,5,555025
995,1,10,555020
1008,3,23,555007
1018,2,33,554997
1054,8,69,554961
1061,1,68,554954
1071,1,58,554944
1123,1,6,554892
1136,1,7,554879
1162,1,33,554853
1167,8,38,554848
1169,1,40,554846
1170,1,41,554845
1182,1,53,554833
1183,2,54,554832
1223,1,66,554792
1242,6,47,554773
1272,7,17,554743
1293,1,4,554722
1339,5,50,554676
1376,1,57,554639
1410,1,23,554605
1425,1,8,554590
1429,3,4,554586
1464,1,31,554551
1488,3,55,554527
1511,1,66,554504
1515,1,62,554500
1534,3,43,554481
1546,1,31,554469
1585,5,8,554430
1607,6,30,554408
1621,1,44,554394
1652,2,75,554363
1699,1,38,554316
1717,12,20,554298
1745,2,8,554270
1746,1,9,554269
1778,12,41,554237
1790,3,53,554225
1803,1,66,554212
1815,1,78,554200
1867,1,30,554148
1903,1,6,554112
1914,3,17,554101
1920,1,23,554095
1927,7,30,554088
1933,7,36,554082
1937,1,40,554078
1943,8,46,554072
1944,1,47,554071
1953,2,56,554062
1971,1,74,554044
1982,1,75,554033
2014,4,43,554001
2016,3,41,553999
2018,1,39,553997
2024,1,33,553991
2038,1,19,553977
2044,3,13,553971
2051,2,6,553964
2062,1,5,553953
2071,2,14,553944
2074,4,17,553941
2088,2,31,553927
2115,10,58,553900
2119,1,62,553896
2153,4,48,553862
2156,2,45,553859
2173,1,28,553842
2199,5,2,553816
2225,1,24,553790
2245,1,44,553770
2249,2,48,553766
2253,4,52,553762
2261,10,60,553754
2264,16,63,553751
2266,3,63,553749
2271,2,58,553744
2287,9,42,553728
2295,5,34,553720
2323,4,6,553692
2324,3,5,553691
2326,1,3,553689
2346,1,17,553669
2351,1,22,553664
2366,3,37,553649
2388,1,59,553627
2390,1,61,553625
2391,1,62,553624
2395,2,66,553620
2403,2,70,553612
2410,2,63,553605
2424,2,49,553591
2429,18,44,553586
2440,7,33,553575
2443,1,30,553572
2448,1,25,553567
2464,1,9,553551
2467,1,6,553548
2471,1,2,553544
2499,3,26,553516
2519,2,46,553496
2524,1,51,553491
2527,1,54,553488
2529,4,56,553486
2533,4,60,553482
2537,1,64,553478
2545,7,72,553470
2548,5,75,553467
