Position,Value,Nucleosome_Distance,Centromere_Distance
42,13,15,-105602
130,2,103,-105514
253,4,104,-105391
264,1,93,-105380
363,1,6,-105281
409,1,52,-105235
462,1,23,-105182
485,1,0,-105159
553,1,60,-105091
575,1,38,-105069
684,20,57,-104960
759,1,18,-104885
805,6,64,-104839
837,1,32,-104807
869,3,0,-104775
870,1,1,-104774
874,1,5,-104770
891,1,22,-104753
902,2,33,-104742
928,2,59,-104716
936,1,67,-104708
1002,1,11,-104642
1041,1,28,-104603
1044,4,31,-104600
1056,2,43,-104588
1130,1,27,-104514
1141,1,16,-104503
1160,1,3,-104484
1174,7,17,-104470
1220,1,63,-104424
1223,1,62,-104421
1307,2,22,-104337
1601,1,44,-104043
1948,1,57,-103696
1977,1,28,-103667
1982,1,23,-103662
2010,2,5,-103634
2017,1,12,-103627
2038,2,33,-103606
2041,1,36,-103603
2049,1,44,-103595
2050,1,45,-103594
2051,2,46,-103593
2053,1,48,-103591
2076,2,71,-103568
2079,1,74,-103565
2090,1,75,-103554
2146,1,19,-103498
2147,1,18,-103497
2152,1,13,-103492
2184,4,19,-103460
2217,1,52,-103427
2298,2,27,-103346
2322,3,3,-103322
2361,1,36,-103283
2365,2,40,-103279
2368,2,43,-103276
2373,2,48,-103271
2406,1,63,-103238
2414,2,55,-103230
2431,3,38,-103213
2434,5,35,-103210
2475,1,6,-103169
2481,1,12,-103163
2489,2,20,-103155
2510,1,41,-103134
2597,14,16,-103047
2609,1,4,-103035
2614,2,1,-103030
2648,1,35,-102996
2673,2,60,-102971
2685,1,72,-102959
2748,3,9,-102896
3054,4,41,-102590
3068,1,55,-102576
3153,1,4,-102491
3155,1,2,-102489
3157,6,0,-102487
3159,1,2,-102485
3182,2,25,-102462
3219,1,62,-102425
3226,1,69,-102418
3242,1,75,-102402
3264,1,53,-102380
3270,2,47,-102374
3273,1,44,-102371
3294,2,23,-102350
3310,1,7,-102334
3401,2,60,-102243
3406,8,55,-102238
3414,5,47,-102230
3416,1,45,-102228
3430,1,31,-102214
3453,1,8,-102191
3457,3,4,-102187
3458,2,3,-102186
3478,2,17,-102166
3483,4,22,-102161
3622,1,17,-102022
3650,1,45,-101994
3655,1,50,-101989
3676,1,71,-101968
3711,2,38,-101933
3745,1,4,-101899
3761,1,12,-101883
3790,1,41,-101854
3794,1,45,-101850
3839,3,54,-101805
3843,1,50,-101801
3936,4,43,-101708
3938,1,45,-101706
3940,1,47,-101704
3972,1,65,-101672
4031,1,6,-101613
4055,1,18,-101589
4093,3,56,-101551
4184,1,19,-101460
4242,1,51,-101402
4309,1,16,-101335
4314,1,21,-101330
4345,3,52,-101299
4687,1,38,-100957
4706,1,19,-100938
4709,12,16,-100935
4784,1,59,-100860
4799,1,74,-100845
4873,1,12,-100771
4876,4,9,-100768
4884,1,1,-100760
4962,1,77,-100682
4982,1,95,-100662
5021,1,56,-100623
5035,1,42,-100609
5091,1,14,-100553
5095,1,18,-100549
5149,1,72,-100495
5176,2,99,-100468
5195,1,118,-100449
5248,1,69,-100396
5272,1,45,-100372
5285,8,32,-100359
5501,13,84,-100143
5521,1,64,-100123
5528,1,57,-100116
5530,1,55,-100114
5563,1,22,-100081
5637,1,52,-100007
5674,1,55,-99970
5702,1,27,-99942
5758,2,29,-99886
5769,1,40,-99875
5792,1,63,-99852
5818,1,71,-99826
5823,2,66,-99821
5833,2,56,-99811
5836,1,53,-99808
5868,2,21,-99776
5876,5,13,-99768
5885,1,4,-99759
5904,1,15,-99740
5926,2,37,-99718
6042,2,9,-99602
6081,12,48,-99563
6229,6,52,-99415
6262,1,85,-99382
6290,5,113,-99354
6331,7,122,-99313
6374,4,79,-99270
6385,17,68,-99259
6643,1,30,-99001
6658,3,45,-98986
6762,2,7,-98882
6844,1,69,-98800
6849,11,64,-98795
6982,1,69,-98662
7072,1,1,-98572
7165,1,68,-98479
7524,17,29,-98120
7632,1,79,-98012
7816,2,53,-97828
8125,1,56,-97519
8130,7,61,-97514
8230,1,3,-97414
8237,1,4,-97407
8303,6,70,-97341
8326,11,87,-97318
8337,1,76,-97307
8370,43,43,-97274
8388,2,25,-97256
8390,1,23,-97254
8392,7,21,-97252
8404,2,9,-97240
8478,7,65,-97166
8521,2,52,-97123
8644,15,71,-97000
8695,1,38,-96949
8967,4,54,-96677
8971,1,50,-96673
10135,2,18,-95509
10173,3,56,-95471
10207,2,70,-95437
10241,2,36,-95403
10294,4,17,-95350
10523,1,74,-95121
10532,2,65,-95112
10782,1,7,-94862
10834,3,45,-94810
10877,2,64,-94767
10880,1,61,-94764
10887,2,54,-94757
11103,41,138,-94541
11171,1,70,-94473
11326,1,85,-94318
11461,1,48,-94183
11539,2,22,-94105
11626,12,65,-94018
11715,1,38,-93929
11793,3,40,-93851
11999,1,50,-93645
12033,1,16,-93611
12049,7,0,-93595
12050,1,1,-93594
12051,3,2,-93593
12053,1,4,-93591
12054,1,5,-93590
12093,1,44,-93551
12137,2,56,-93507
12193,1,0,-93451
12246,1,53,-93398
12248,2,55,-93396
12401,3,48,-93243
12441,2,84,-93203
12504,2,21,-93140
12532,7,7,-93112
13331,2,6,-92313
13390,2,53,-92254
13399,17,62,-92245
13437,4,100,-92207
13440,2,103,-92204
13443,1,106,-92201
13481,1,104,-92163
13636,1,51,-92008
13648,1,63,-91996
13887,2,6,-91757
14010,1,63,-91634
14014,1,59,-91630
14015,1,58,-91629
14094,1,21,-91550
14884,5,5,-90760
14920,2,31,-90724
14925,10,36,-90719
14992,2,57,-90652
15103,1,54,-90541
15133,5,76,-90511
15137,1,72,-90507
15169,1,40,-90475
15196,1,13,-90448
15232,2,23,-90412
15236,4,27,-90408
15428,2,59,-90216
15460,22,77,-90184
15613,3,76,-90031
15633,2,72,-90011
15937,42,44,-89707
15947,2,54,-89697
16051,6,50,-89593
16056,4,45,-89588
16575,1,78,-89069
16673,1,20,-88971
16674,22,21,-88970
16940,1,45,-88704
16976,4,9,-88668
16997,1,12,-88647
17026,6,41,-88618
17041,2,56,-88603
17518,1,125,-88126
17761,2,60,-87883
17803,11,18,-87841
17906,9,59,-87738
18161,3,20,-87483
18316,2,9,-87328
18360,2,35,-87284
18490,3,1,-87154
18590,10,43,-87054
18651,1,18,-86993
18864,4,41,-86780
18930,1,25,-86714
18970,3,65,-86674
18976,2,71,-86668
18993,1,72,-86651
18996,3,69,-86648
19017,2,48,-86627
19050,2,15,-86594
19143,6,66,-86501
19149,1,60,-86495
19221,4,12,-86423
19223,1,14,-86421
19384,1,47,-86260
19522,1,41,-86122
19935,2,54,-85709
20003,1,6,-85641
20069,6,60,-85575
20111,1,42,-85533
20133,10,20,-85511
20141,1,12,-85503
20144,2,9,-85500
20147,1,6,-85497
20158,1,5,-85486
20217,1,64,-85427
20244,3,53,-85400
20280,2,17,-85364
20298,3,1,-85346
20310,1,13,-85334
20334,2,37,-85310
20338,4,41,-85306
20444,3,3,-85200
20535,10,74,-85109
20949,1,12,-84695
20990,1,53,-84654
21022,2,83,-84622
21045,77,60,-84599
21240,16,121,-84404
21284,1,77,-84360
21373,115,12,-84271
21379,1,18,-84265
21432,2,71,-84212
21465,1,96,-84179
21484,1,77,-84160
21498,1,63,-84146
21524,16,37,-84120
21536,2,25,-84108
21540,2,21,-84104
21558,1,3,-84086
21622,9,61,-84022
21657,2,96,-83987
21673,1,108,-83971
21680,18,101,-83964
21719,41,62,-83925
21722,5,59,-83922
21785,1,4,-83859
21796,1,15,-83848
21834,55,53,-83810
21850,3,69,-83794
21880,1,57,-83764
21948,2,11,-83696
21963,2,26,-83681
22241,1,0,-83403
22397,1,4,-83247
22412,1,11,-83232
22476,1,69,-83168
22516,1,29,-83128
22556,1,11,-83088
23286,1,71,-82358
23547,1,42,-82097
23614,6,91,-82030
23632,1,73,-82012
23681,1,24,-81963
23694,1,11,-81950
23706,1,1,-81938
23729,1,24,-81915
24347,2,18,-81297
24356,1,9,-81288
24385,2,20,-81259
24526,1,1,-81118
25245,2,76,-80399
25248,1,79,-80396
25349,1,16,-80295
25354,1,21,-80290
25429,1,64,-80215
25612,3,119,-80032
25742,1,15,-79902
26036,2,119,-79608
26064,1,133,-79580
26097,7,100,-79547
26127,12,70,-79517
26128,2,69,-79516
26160,1,37,-79484
26169,1,28,-79475
26288,1,73,-79356
26299,3,62,-79345
26346,1,15,-79298
26352,1,9,-79292
26401,1,40,-79243
26454,1,51,-79190
26477,1,28,-79167
26552,4,47,-79092
26570,5,65,-79074
26731,2,26,-78913
26735,2,30,-78909
26736,1,31,-78908
26784,2,79,-78860
26823,1,42,-78821
26837,1,28,-78807
26898,1,33,-78746
26900,1,35,-78744
27344,1,17,-78300
27559,2,6,-78085
27615,3,62,-78029
27657,3,44,-77987
27671,1,30,-77973
27682,2,19,-77962
27688,1,13,-77956
27703,1,2,-77941
27726,1,25,-77918
27729,3,28,-77915
27750,2,49,-77894
27788,1,41,-77856
27835,4,6,-77809
28093,3,40,-77551
28112,4,21,-77532
28156,1,23,-77488
28159,3,26,-77485
28231,1,46,-77413
28256,1,21,-77388
28295,6,18,-77349
28299,3,22,-77345
28502,1,55,-77142
28503,2,54,-77141
28508,1,49,-77136
28559,1,2,-77085
28581,1,24,-77063
28585,1,28,-77059
28698,1,3,-76946
28707,1,6,-76937
28848,1,13,-76796
28874,2,13,-76770
28906,1,45,-76738
28908,1,47,-76736
28973,1,48,-76671
29051,1,30,-76593
29185,1,20,-76459
29380,1,57,-76264
29459,3,22,-76185
29463,1,26,-76181
29477,1,40,-76167
29506,1,59,-76138
29558,2,7,-76086
30272,1,21,-75372
30325,1,32,-75319
30354,8,61,-75290
30406,4,15,-75238
30556,1,9,-75088
30789,1,80,-74855
30893,3,12,-74751
30897,1,16,-74747
30941,1,60,-74703
31005,1,4,-74639
31070,4,61,-74574
32562,11,79,-73082
32586,4,55,-73058
32705,1,64,-72939
32712,8,71,-72932
32748,7,53,-72896
32835,2,34,-72809
32887,3,86,-72757
32990,1,5,-72654
33394,1,65,-72250
33398,1,69,-72246
33452,2,37,-72192
33465,3,24,-72179
33874,1,45,-71770
33883,4,54,-71761
34027,1,54,-71617
34212,1,63,-71432
34230,2,81,-71414
34233,7,84,-71411
34328,10,81,-71316
34331,5,78,-71313
34333,1,76,-71311
34520,1,101,-71124
34565,1,56,-71079
34657,1,36,-70987
34695,6,74,-70949
34718,2,97,-70926
34762,1,67,-70882
34850,2,21,-70794
34895,2,66,-70749
35024,1,51,-70620
35059,1,58,-70585
35122,22,5,-70522
35596,2,39,-70048
35679,1,22,-69965
36208,2,221,-69436
36534,1,23,-69110
36791,1,22,-68853
36974,2,33,-68670
37023,1,62,-68621
37117,3,32,-68527
37139,1,54,-68505
37159,1,74,-68485
37235,1,10,-68409
37243,5,2,-68401
37268,1,23,-68376
37282,2,37,-68362
37292,2,47,-68352
37320,1,75,-68324
37329,2,76,-68315
37336,3,69,-68308
37337,1,68,-68307
37338,1,67,-68306
37340,8,65,-68304
37353,1,52,-68291
37376,1,29,-68268
37394,1,11,-68250
37427,22,22,-68217
37438,1,33,-68206
37492,1,73,-68152
37507,2,58,-68137
37554,2,11,-68090
37555,1,10,-68089
37584,1,19,-68060
37642,2,77,-68002
37786,4,61,-67858
37817,1,68,-67827
37825,2,60,-67819
37828,2,57,-67816
37961,2,76,-67683
38112,1,67,-67532
38116,1,71,-67528
38117,1,72,-67527
38173,6,24,-67471
38244,11,47,-67400
38318,18,39,-67326
38324,1,33,-67320
38381,1,24,-67263
38447,1,82,-67197
38451,1,78,-67193
38457,4,72,-67187
38584,1,55,-67060
38618,2,89,-67026
38625,1,96,-67019
38668,5,133,-66976
38696,11,105,-66948
38698,1,103,-66946
38821,1,20,-66823
38973,2,16,-66671
39048,8,59,-66596
39221,1,80,-66423
39227,1,74,-66417
39230,1,71,-66414
39445,2,12,-66199
39484,3,27,-66160
39597,14,52,-66047
39625,1,24,-66019
39695,1,46,-65949
39796,1,19,-65848
39802,2,25,-65842
39866,1,89,-65778
39871,9,94,-65773
39988,2,113,-65656
39994,2,107,-65650
39999,1,102,-65645
40232,2,17,-65412
40236,1,13,-65408
40243,1,6,-65401
40260,3,11,-65384
40264,1,15,-65380
40458,2,37,-65186
40482,1,61,-65162
40494,2,73,-65150
40559,1,22,-65085
40562,2,19,-65082
40599,2,18,-65045
40649,1,68,-64995
40662,1,79,-64982
40700,2,41,-64944
40701,1,40,-64943
40702,2,39,-64942
40704,1,37,-64940
40706,1,35,-64938
40737,1,4,-64907
40807,1,66,-64837
40818,2,77,-64826
40823,7,78,-64821
40860,1,41,-64784
40931,4,30,-64713
41275,1,58,-64369
41280,2,53,-64364
41355,1,22,-64289
41478,1,35,-64166
41581,1,68,-64063
41662,1,43,-63982
41666,1,39,-63978
41668,2,37,-63976
41670,1,35,-63974
41700,1,5,-63944
41704,4,1,-63940
41812,1,37,-63832
41814,6,35,-63830
41816,2,33,-63828
41817,1,32,-63827
41819,2,30,-63825
41823,1,26,-63821
41847,1,2,-63797
41869,1,20,-63775
41886,1,37,-63758
41960,1,17,-63684
41972,1,5,-63672
42079,1,42,-63565
42086,3,35,-63558
42137,1,16,-63507
42153,3,32,-63491
42186,1,65,-63458
42194,1,71,-63450
42274,1,9,-63370
42277,1,12,-63367
42319,2,54,-63325
42320,1,55,-63324
42331,1,62,-63313
42472,1,49,-63172
42646,1,19,-62998
42657,1,8,-62987
42674,2,9,-62970
42677,2,12,-62967
42810,1,15,-62834
42856,1,31,-62788
42859,2,34,-62785
42941,1,44,-62703
43221,3,52,-62423
43438,1,5,-62206
43538,2,55,-62106
43817,1,48,-61827
43821,1,44,-61823
44630,2,49,-61014
44680,1,61,-60964
44784,1,43,-60860
44787,1,46,-60857
44891,2,10,-60753
44975,3,74,-60669
44979,110,78,-60665
44987,1,86,-60657
45048,1,69,-60596
45093,5,24,-60551
45189,1,72,-60455
45267,1,10,-60377
45274,1,3,-60370
45396,2,53,-60248
45424,1,25,-60220
45496,1,47,-60148
45503,3,54,-60141
45556,3,53,-60088
45575,1,34,-60069
45580,1,29,-60064
45616,3,7,-60028
