Position,Value,Nucleosome_Distance,Centromere_Distance
5,2,36,-150882
14,2,27,-150873
41,81,0,-150846
47,1,6,-150840
65,96,24,-150822
69,1,28,-150818
76,1,35,-150811
81,120,40,-150806
84,10,43,-150803
89,812,48,-150798
90,1,49,-150797
91,316,50,-150796
92,51,51,-150795
93,8,52,-150794
94,79,53,-150793
96,6,55,-150791
98,1,57,-150789
100,44,59,-150787
103,1,62,-150784
108,4,67,-150779
113,3,72,-150774
120,116,79,-150767
127,99,86,-150760
145,16,104,-150742
157,1,116,-150730
160,36,119,-150727
174,81,133,-150713
183,28,142,-150704
191,3,150,-150696
195,1,154,-150692
214,4,173,-150673
218,2,177,-150669
222,9,181,-150665
226,3,185,-150661
233,1,184,-150654
245,1,172,-150642
254,4,163,-150633
259,2,158,-150628
261,4,156,-150626
263,1,154,-150624
265,2,152,-150622
268,9,149,-150619
269,170,148,-150618
271,6,146,-150616
275,81,142,-150612
277,1,140,-150610
279,178,138,-150608
283,11,134,-150604
288,2,129,-150599
291,29,126,-150596
294,2,123,-150593
296,1,121,-150591
303,7,114,-150584
304,1,113,-150583
311,3,106,-150576
313,7,104,-150574
316,7,101,-150571
319,13,98,-150568
320,7,97,-150567
323,14,94,-150564
324,7,93,-150563
326,8,91,-150561
327,5,90,-150560
328,20,89,-150559
330,23,87,-150557
332,9,85,-150555
335,28,82,-150552
337,1,80,-150550
338,3,79,-150549
339,6,78,-150548
340,20,77,-150547
342,7,75,-150545
343,2,74,-150544
345,2,72,-150542
346,38,71,-150541
350,12,67,-150537
351,9,66,-150536
353,14,64,-150534
355,3,62,-150532
357,31,60,-150530
361,1,56,-150526
364,7,53,-150523
370,2,47,-150517
375,14,42,-150512
376,1,41,-150511
377,3,40,-150510
380,14,37,-150507
383,1,34,-150504
384,10,33,-150503
386,26,31,-150501
388,10,29,-150499
391,13,26,-150496
394,5,23,-150493
398,6,19,-150489
399,35,18,-150488
402,4,15,-150485
403,5,14,-150484
406,1,11,-150481
410,7,7,-150477
412,4,5,-150475
415,5,2,-150472
423,1,6,-150464
426,1,9,-150461
432,6,15,-150455
436,2,19,-150451
439,19,22,-150448
443,7,26,-150444
446,1,29,-150441
449,2,32,-150438
453,1,36,-150434
462,1,45,-150425
469,1,52,-150418
472,1,55,-150415
480,2,63,-150407
493,1,76,-150394
496,1,79,-150391
519,1,58,-150368
546,1,31,-150341
554,26,23,-150333
559,12,18,-150328
564,36,13,-150323
639,2,62,-150248
647,1,70,-150240
658,9,63,-150229
664,1,57,-150223
665,22,56,-150222
677,24,44,-150210
683,3,38,-150204
689,1,32,-150198
708,9,13,-150179
712,24,9,-150175
721,2,0,-150166
722,53,1,-150165
726,15,5,-150161
730,13,9,-150157
734,7,13,-150153
735,6,14,-150152
737,11,16,-150150
742,7,21,-150145
746,9,25,-150141
751,28,30,-150136
755,13,34,-150132
791,12,70,-150096
794,34,71,-150093
806,3,59,-150081
809,4,56,-150078
816,4,49,-150071
822,7,43,-150065
827,24,38,-150060
829,3,36,-150058
830,15,35,-150057
834,3,31,-150053
837,3,28,-150050
838,2,27,-150049
839,35,26,-150048
843,2,22,-150044
846,6,19,-150041
849,3,16,-150038
852,16,13,-150035
856,6,9,-150031
859,12,6,-150028
862,5,3,-150025
869,41,4,-150018
870,11,5,-150017
874,10,9,-150013
878,3,13,-150009
881,5,16,-150006
889,2,24,-149998
894,2,29,-149993
900,29,35,-149987
904,9,39,-149983
907,1,42,-149980
940,1,75,-149947
962,1,63,-149925
968,12,57,-149919
986,19,39,-149901
996,14,29,-149891
1010,8,15,-149877
1012,1,13,-149875
1016,30,9,-149871
1019,3,6,-149868
1027,3,2,-149860
1030,39,5,-149857
1037,3,12,-149850
1041,13,16,-149846
1044,19,19,-149843
1055,1,30,-149832
1056,6,31,-149831
1062,25,37,-149825
1074,26,49,-149813
1078,8,53,-149809
1080,3,55,-149807
1088,34,63,-149799
1090,5,65,-149797
1091,1,66,-149796
1093,46,68,-149794
1099,1,74,-149788
1109,6,76,-149778
1112,2,73,-149775
1118,1,67,-149769
1132,2,53,-149755
1134,3,51,-149753
1146,1,39,-149741
1153,7,32,-149734
1156,19,29,-149731
1161,4,24,-149726
1167,22,18,-149720
1170,3,15,-149717
1177,11,8,-149710
1184,1,1,-149703
1187,2,2,-149700
1191,2,6,-149696
1193,5,8,-149694
1195,10,10,-149692
1199,21,14,-149688
1201,1,16,-149686
1207,41,22,-149680
1211,2,26,-149676
1257,37,72,-149630
1289,8,56,-149598
1298,4,47,-149589
1306,2,39,-149581
1314,2,31,-149573
1323,1,22,-149564
1325,1,20,-149562
1329,2,16,-149558
1337,2,8,-149550
1359,4,14,-149528
1363,8,18,-149524
1368,7,23,-149519
1377,14,32,-149510
1384,14,39,-149503
1400,2,55,-149487
1408,4,63,-149479
1417,16,72,-149470
1422,3,67,-149465
1431,2,58,-149456
1442,18,47,-149445
1447,6,42,-149440
1451,2,38,-149436
1473,1,16,-149414
1480,1,9,-149407
1517,1,28,-149370
1597,1,20,-149290
1603,1,14,-149284
1641,1,24,-149246
1650,3,33,-149237
1658,1,41,-149229
1676,2,59,-149211
1679,1,62,-149208
1699,1,46,-149188
1723,1,22,-149164
1734,7,11,-149153
1744,3,1,-149143
1749,2,4,-149138
1751,1,6,-149136
1755,2,10,-149132
1766,2,21,-149121
1768,1,23,-149119
1782,3,37,-149105
1785,3,40,-149102
1795,2,50,-149092
1929,3,56,-148958
1942,3,69,-148945
1954,4,63,-148933
1987,1,30,-148900
2004,1,13,-148883
2017,7,0,-148870
2050,6,33,-148837
2053,11,36,-148834
2058,1,41,-148829
2068,1,51,-148819
2071,2,54,-148816
2079,1,62,-148808
2093,1,76,-148794
2094,1,77,-148793
2095,2,78,-148792
2128,38,49,-148759
2155,15,22,-148732
2169,7,8,-148718
2175,1,2,-148712
2176,1,1,-148711
2179,16,2,-148708
2191,24,14,-148696
2196,4,19,-148691
2222,63,45,-148665
2227,1,50,-148660
2238,1,61,-148649
2253,6,76,-148634
2262,1,75,-148625
2279,1,58,-148608
2283,6,54,-148604
2308,1,29,-148579
2316,2,21,-148571
2318,1,19,-148569
2322,46,15,-148565
2325,1,12,-148562
2326,1,11,-148561
2327,113,10,-148560
2355,10,18,-148532
2365,1,28,-148522
2367,1,30,-148520
2371,4,34,-148516
2373,1,36,-148514
2379,11,42,-148508
2382,11,45,-148505
2389,4,52,-148498
2390,23,53,-148497
2394,15,57,-148493
2398,1,61,-148489
2406,2,69,-148481
2408,11,71,-148479
2411,3,74,-148476
2412,5,75,-148475
2414,25,77,-148473
2420,16,77,-148467
2424,92,73,-148463
2454,5,43,-148433
2456,2,41,-148431
2478,5,19,-148409
2480,10,17,-148407
2482,2,15,-148405
2489,4,8,-148398
2490,7,7,-148397
2501,4,4,-148386
2508,32,11,-148379
2512,10,15,-148375
