Position,Value,Nucleosome_Distance,Centromere_Distance
1,0,0,250269
2,0,1,250268
3,0,2,250267
4,0,3,250266
5,0,4,250265
6,0,5,250264
7,0,6,250263
8,0,7,250262
9,0,8,250261
10,0,9,250260
11,3,10,250259
12,0,11,250258
13,0,12,250257
14,0,13,250256
15,0,14,250255
16,0,15,250254
17,0,16,250253
18,0,17,250252
19,0,18,250251
20,0,19,250250
21,0,20,250249
22,0,21,250248
23,0,22,250247
24,0,23,250246
25,0,24,250245
26,0,25,250244
27,0,26,250243
28,0,27,250242
29,0,28,250241
30,0,29,250240
31,0,30,250239
32,0,31,250238
33,0,32,250237
34,0,33,250236
35,7,34,250235
36,0,35,250234
37,0,36,250233
38,0,37,250232
39,0,38,250231
40,0,39,250230
41,0,40,250229
42,0,41,250228
43,0,42,250227
44,2,43,250226
45,0,44,250225
46,1,45,250224
47,0,46,250223
48,0,47,250222
49,0,48,250221
50,0,49,250220
51,0,50,250219
52,0,51,250218
53,0,52,250217
54,0,53,250216
55,0,54,250215
56,0,55,250214
57,0,56,250213
58,0,57,250212
59,0,58,250211
60,0,59,250210
61,0,60,250209
62,0,61,250208
63,0,62,250207
64,0,62,250206
65,0,61,250205
66,0,60,250204
67,0,59,250203
68,0,58,250202
69,0,57,250201
70,0,56,250200
71,0,55,250199
72,0,54,250198
73,6,53,250197
74,0,52,250196
75,0,51,250195
76,0,50,250194
77,0,49,250193
78,0,48,250192
79,0,47,250191
80,0,46,250190
81,0,45,250189
82,0,44,250188
83,0,43,250187
84,0,42,250186
85,0,41,250185
86,0,40,250184
87,0,39,250183
88,0,38,250182
89,2,37,250181
90,0,36,250180
91,0,35,250179
92,0,34,250178
93,0,33,250177
94,0,32,250176
95,0,31,250175
96,0,30,250174
97,0,29,250173
98,0,28,250172
99,1,27,250171
100,0,26,250170
101,0,25,250169
102,0,24,250168
103,0,23,250167
104,0,22,250166
105,0,21,250165
106,0,20,250164
107,0,19,250163
108,0,18,250162
109,0,17,250161
110,0,16,250160
111,0,15,250159
112,0,14,250158
113,0,13,250157
114,0,12,250156
115,0,11,250155
116,0,10,250154
117,0,9,250153
118,0,8,250152
119,0,7,250151
120,0,6,250150
121,0,5,250149
122,0,4,250148
123,0,3,250147
124,0,2,250146
125,0,1,250145
126,0,0,250144
127,0,1,250143
128,0,2,250142
129,0,3,250141
130,0,4,250140
131,0,5,250139
132,0,6,250138
133,0,7,250137
134,0,8,250136
135,0,9,250135
136,0,10,250134
137,0,11,250133
138,0,12,250132
139,0,13,250131
140,0,14,250130
141,0,15,250129
142,0,16,250128
143,0,17,250127
144,0,18,250126
145,0,19,250125
146,0,20,250124
147,0,21,250123
148,0,22,250122
149,0,23,250121
150,0,24,250120
151,0,25,250119
152,0,26,250118
153,0,27,250117
154,0,28,250116
155,0,29,250115
156,0,30,250114
157,6,31,250113
158,0,32,250112
159,0,33,250111
160,0,34,250110
161,0,35,250109
162,0,36,250108
163,0,37,250107
164,2,38,250106
165,0,39,250105
166,0,40,250104
167,1,41,250103
168,0,42,250102
169,0,43,250101
170,0,44,250100
171,0,45,250099
172,0,46,250098
173,0,47,250097
174,0,48,250096
175,0,49,250095
176,0,50,250094
177,0,51,250093
178,0,52,250092
179,3,53,250091
180,0,54,250090
181,0,55,250089
182,0,56,250088
183,0,57,250087
184,0,58,250086
185,0,59,250085
186,0,60,250084
187,0,61,250083
188,0,62,250082
189,0,63,250081
190,0,64,250080
191,0,65,250079
192,0,66,250078
193,0,67,250077
194,0,68,250076
195,0,67,250075
196,0,66,250074
197,0,65,250073
198,0,64,250072
199,0,63,250071
200,0,62,250070
201,0,61,250069
202,0,60,250068
203,0,59,250067
204,0,58,250066
205,0,57,250065
206,0,56,250064
207,0,55,250063
208,0,54,250062
209,6,53,250061
210,0,52,250060
211,0,51,250059
212,0,50,250058
213,0,49,250057
214,0,48,250056
215,0,47,250055
216,0,46,250054
217,0,45,250053
218,0,44,250052
219,0,43,250051
220,0,42,250050
221,10,41,250049
222,0,40,250048
223,0,39,250047
224,0,38,250046
225,0,37,250045
226,0,36,250044
227,2,35,250043
228,0,34,250042
229,0,33,250041
230,0,32,250040
231,0,31,250039
232,0,30,250038
233,0,29,250037
234,0,28,250036
235,0,27,250035
236,0,26,250034
237,0,25,250033
238,0,24,250032
239,0,23,250031
240,0,22,250030
241,0,21,250029
242,0,20,250028
243,0,19,250027
244,0,18,250026
245,0,17,250025
246,0,16,250024
247,0,15,250023
248,0,14,250022
249,0,13,250021
250,0,12,250020
251,0,11,250019
252,0,10,250018
253,0,9,250017
254,0,8,250016
255,0,7,250015
256,10,6,250014
257,0,5,250013
258,0,4,250012
259,0,3,250011
260,0,2,250010
261,0,1,250009
262,0,0,250008
263,0,1,250007
264,0,2,250006
265,0,3,250005
266,0,4,250004
267,0,5,250003
268,0,6,250002
269,0,7,250001
270,0,8,250000
271,0,9,249999
272,0,10,249998
273,0,11,249997
274,0,12,249996
275,0,13,249995
276,0,14,249994
277,2,15,249993
278,0,16,249992
279,0,17,249991
280,0,18,249990
281,0,19,249989
282,0,20,249988
283,0,21,249987
284,0,22,249986
285,2,23,249985
286,0,24,249984
287,1,25,249983
288,0,26,249982
289,0,27,249981
290,0,28,249980
291,0,29,249979
292,0,30,249978
293,0,31,249977
294,1,32,249976
295,0,33,249975
296,2,34,249974
297,0,35,249973
298,0,36,249972
299,0,37,249971
300,0,38,249970
301,0,39,249969
302,0,40,249968
303,0,41,249967
304,0,42,249966
305,0,43,249965
306,0,44,249964
307,0,45,249963
308,17,46,249962
309,0,47,249961
310,0,48,249960
311,0,49,249959
312,0,50,249958
313,0,51,249957
314,0,52,249956
315,0,53,249955
316,11,54,249954
317,0,55,249953
318,0,56,249952
319,0,57,249951
320,0,58,249950
321,0,59,249949
322,0,60,249948
323,0,61,249947
324,0,62,249946
325,0,63,249945
326,0,64,249944
327,0,65,249943
328,0,66,249942
329,0,67,249941
330,0,68,249940
331,0,69,249939
332,0,70,249938
333,0,71,249937
334,0,72,249936
335,5,73,249935
336,9,74,249934
337,0,75,249933
338,0,76,249932
339,0,77,249931
340,0,78,249930
341,0,79,249929
342,0,80,249928
343,0,81,249927
344,0,82,249926
345,0,83,249925
346,0,84,249924
347,0,85,249923
348,0,86,249922
349,0,87,249921
350,0,88,249920
351,0,89,249919
352,0,90,249918
353,6,91,249917
354,2,92,249916
355,0,93,249915
356,0,94,249914
357,9,95,249913
358,0,96,249912
359,0,97,249911
360,0,98,249910
361,0,99,249909
362,1,100,249908
363,0,101,249907
364,4,102,249906
365,0,103,249905
366,0,104,249904
367,0,105,249903
368,0,106,249902
369,0,107,249901
370,0,108,249900
371,0,109,249899
372,0,110,249898
373,0,111,249897
374,0,112,249896
375,0,113,249895
376,0,114,249894
377,5,115,249893
378,2,116,249892
379,2,117,249891
380,6,118,249890
381,5,119,249889
382,0,120,249888
383,1,121,249887
384,0,122,249886
385,0,123,249885
386,0,124,249884
387,1,125,249883
388,0,126,249882
389,0,127,249881
390,0,128,249880
391,0,127,249879
392,0,126,249878
393,4,125,249877
394,0,124,249876
395,0,123,249875
396,0,122,249874
397,0,121,249873
398,0,120,249872
399,0,119,249871
400,0,118,249870
401,0,117,249869
402,0,116,249868
403,0,115,249867
404,0,114,249866
405,0,113,249865
406,0,112,249864
407,3,111,249863
408,0,110,249862
409,0,109,249861
410,0,108,249860
411,0,107,249859
412,0,106,249858
413,0,105,249857
414,0,104,249856
415,0,103,249855
416,0,102,249854
417,0,101,249853
418,0,100,249852
419,0,99,249851
420,10,98,249850
421,0,97,249849
422,2,96,249848
423,3,95,249847
424,0,94,249846
425,0,93,249845
426,0,92,249844
427,0,91,249843
428,0,90,249842
429,0,89,249841
430,0,88,249840
431,0,87,249839
432,0,86,249838
433,1,85,249837
434,0,84,249836
435,0,83,249835
436,0,82,249834
437,0,81,249833
438,0,80,249832
439,17,79,249831
440,0,78,249830
441,8,77,249829
442,0,76,249828
443,0,75,249827
444,0,74,249826
445,10,73,249825
446,0,72,249824
447,0,71,249823
448,0,70,249822
449,0,69,249821
450,2,68,249820
451,0,67,249819
452,0,66,249818
453,1,65,249817
454,0,64,249816
455,0,63,249815
456,0,62,249814
457,9,61,249813
458,0,60,249812
459,0,59,249811
460,0,58,249810
461,0,57,249809
462,0,56,249808
463,0,55,249807
464,0,54,249806
465,0,53,249805
466,0,52,249804
467,0,51,249803
468,0,50,249802
469,0,49,249801
470,0,48,249800
471,0,47,249799
472,0,46,249798
473,0,45,249797
474,0,44,249796
475,0,43,249795
476,0,42,249794
477,0,41,249793
478,0,40,249792
479,0,39,249791
480,0,38,249790
481,0,37,249789
482,1,36,249788
483,0,35,249787
484,0,34,249786
485,0,33,249785
486,0,32,249784
487,0,31,249783
488,0,30,249782
489,0,29,249781
490,0,28,249780
491,0,27,249779
492,0,26,249778
493,0,25,249777
494,0,24,249776
495,0,23,249775
496,0,22,249774
497,0,21,249773
498,0,20,249772
499,0,19,249771
500,0,18,249770
501,0,17,249769
502,0,16,249768
503,0,15,249767
504,0,14,249766
505,0,13,249765
506,0,12,249764
507,0,11,249763
508,0,10,249762
509,0,9,249761
510,0,8,249760
511,0,7,249759
512,0,6,249758
513,0,5,249757
514,0,4,249756
515,0,3,249755
516,0,2,249754
517,0,1,249753
518,0,0,249752
519,0,1,249751
520,0,2,249750
521,3,3,249749
522,0,4,249748
523,0,5,249747
524,0,6,249746
525,0,7,249745
526,0,8,249744
527,0,9,249743
528,0,10,249742
529,3,11,249741
530,0,12,249740
531,0,13,249739
532,0,14,249738
533,0,15,249737
534,0,16,249736
535,0,17,249735
536,0,18,249734
537,0,19,249733
538,0,20,249732
539,0,21,249731
540,0,22,249730
541,0,23,249729
542,0,24,249728
543,0,25,249727
544,0,26,249726
545,0,27,249725
546,1,28,249724
547,0,29,249723
548,0,30,249722
549,0,31,249721
550,0,32,249720
551,0,33,249719
552,0,34,249718
553,0,35,249717
554,2,36,249716
555,0,37,249715
556,0,38,249714
557,0,39,249713
558,0,40,249712
559,0,41,249711
560,0,42,249710
561,0,43,249709
562,0,44,249708
563,0,45,249707
564,0,46,249706
565,0,47,249705
566,0,48,249704
567,0,49,249703
568,0,50,249702
569,0,51,249701
570,0,52,249700
571,0,53,249699
572,0,54,249698
573,0,55,249697
574,0,56,249696
575,0,57,249695
576,0,58,249694
577,0,59,249693
578,0,60,249692
579,0,61,249691
580,0,62,249690
581,0,63,249689
582,0,64,249688
583,1,65,249687
584,0,66,249686
585,0,67,249685
586,0,68,249684
587,0,69,249683
588,0,70,249682
589,0,71,249681
590,0,72,249680
591,0,73,249679
592,0,74,249678
593,0,75,249677
594,0,76,249676
595,0,77,249675
596,0,78,249674
597,0,79,249673
598,0,80,249672
599,0,81,249671
600,0,82,249670
601,0,83,249669
602,0,84,249668
603,0,85,249667
604,4,86,249666
605,0,87,249665
606,0,88,249664
607,0,89,249663
608,0,90,249662
609,0,91,249661
610,0,92,249660
611,0,93,249659
612,0,94,249658
613,0,95,249657
614,0,96,249656
615,0,97,249655
616,7,98,249654
617,1,99,249653
618,0,98,249652
619,0,97,249651
620,0,96,249650
621,3,95,249649
622,0,94,249648
623,0,93,249647
624,0,92,249646
625,0,91,249645
626,7,90,249644
627,0,89,249643
628,0,88,249642
629,3,87,249641
630,0,86,249640
631,0,85,249639
632,0,84,249638
633,0,83,249637
634,0,82,249636
635,2,81,249635
636,0,80,249634
637,0,79,249633
638,0,78,249632
639,0,77,249631
640,0,76,249630
641,0,75,249629
642,0,74,249628
643,0,73,249627
644,0,72,249626
645,0,71,249625
646,0,70,249624
647,0,69,249623
648,0,68,249622
649,0,67,249621
650,0,66,249620
651,0,65,249619
652,0,64,249618
653,0,63,249617
654,0,62,249616
655,0,61,249615
656,0,60,249614
657,0,59,249613
658,0,58,249612
659,0,57,249611
660,0,56,249610
661,0,55,249609
662,0,54,249608
663,0,53,249607
664,0,52,249606
665,0,51,249605
666,0,50,249604
667,0,49,249603
668,0,48,249602
669,0,47,249601
670,0,46,249600
671,0,45,249599
672,0,44,249598
673,0,43,249597
674,0,42,249596
675,0,41,249595
676,0,40,249594
677,0,39,249593
678,0,38,249592
679,0,37,249591
680,0,36,249590
681,0,35,249589
682,0,34,249588
683,0,33,249587
684,0,32,249586
685,0,31,249585
686,0,30,249584
687,0,29,249583
688,0,28,249582
689,0,27,249581
690,0,26,249580
691,0,25,249579
692,0,24,249578
693,0,23,249577
694,0,22,249576
695,0,21,249575
696,0,20,249574
697,0,19,249573
698,0,18,249572
699,0,17,249571
700,0,16,249570
701,0,15,249569
702,0,14,249568
703,0,13,249567
704,0,12,249566
705,0,11,249565
706,0,10,249564
707,0,9,249563
708,0,8,249562
709,0,7,249561
710,0,6,249560
711,0,5,249559
712,0,4,249558
713,0,3,249557
714,0,2,249556
715,0,1,249555
716,0,0,249554
717,0,1,249553
718,0,2,249552
719,0,3,249551
720,0,4,249550
721,0,5,249549
722,0,6,249548
723,0,7,249547
724,0,8,249546
725,0,9,249545
726,0,10,249544
727,0,11,249543
728,0,12,249542
729,0,13,249541
730,0,14,249540
731,0,15,249539
732,0,16,249538
733,0,17,249537
734,0,18,249536
735,0,19,249535
736,0,20,249534
737,0,21,249533
738,0,22,249532
739,0,23,249531
740,0,24,249530
741,0,25,249529
742,0,26,249528
743,0,27,249527
744,0,28,249526
745,0,29,249525
746,0,30,249524
747,0,31,249523
748,0,32,249522
749,0,33,249521
750,0,34,249520
751,0,35,249519
752,0,36,249518
753,0,37,249517
754,0,38,249516
755,0,39,249515
756,0,40,249514
757,0,41,249513
758,0,42,249512
759,0,43,249511
760,0,44,249510
761,0,45,249509
762,0,46,249508
763,0,47,249507
764,0,48,249506
765,0,49,249505
766,0,50,249504
767,0,51,249503
768,0,52,249502
769,0,53,249501
770,0,54,249500
771,0,55,249499
772,0,56,249498
773,0,57,249497
774,0,58,249496
775,0,59,249495
776,0,60,249494
777,0,61,249493
778,0,62,249492
779,0,63,249491
780,0,64,249490
781,0,65,249489
782,0,66,249488
783,0,67,249487
784,0,68,249486
785,0,69,249485
786,0,70,249484
787,0,71,249483
788,0,72,249482
789,0,73,249481
790,0,74,249480
791,0,75,249479
792,0,76,249478
793,0,77,249477
794,0,78,249476
795,0,79,249475
796,0,80,249474
797,0,81,249473
798,0,82,249472
799,0,83,249471
800,0,84,249470
801,0,85,249469
802,0,86,249468
803,0,87,249467
804,0,88,249466
805,0,88,249465
806,0,87,249464
807,0,86,249463
808,0,85,249462
809,0,84,249461
810,0,83,249460
811,0,82,249459
812,0,81,249458
813,0,80,249457
814,0,79,249456
815,0,78,249455
816,0,77,249454
817,0,76,249453
818,0,75,249452
819,0,74,249451
820,0,73,249450
821,0,72,249449
822,0,71,249448
823,0,70,249447
824,0,69,249446
825,0,68,249445
826,0,67,249444
827,0,66,249443
828,0,65,249442
829,0,64,249441
830,0,63,249440
831,0,62,249439
832,0,61,249438
833,0,60,249437
834,0,59,249436
835,0,58,249435
836,0,57,249434
837,0,56,249433
838,0,55,249432
839,0,54,249431
840,0,53,249430
841,0,52,249429
842,0,51,249428
843,0,50,249427
844,0,49,249426
845,0,48,249425
846,0,47,249424
847,0,46,249423
848,0,45,249422
849,0,44,249421
850,0,43,249420
851,0,42,249419
852,0,41,249418
853,0,40,249417
854,0,39,249416
855,0,38,249415
856,0,37,249414
857,0,36,249413
858,0,35,249412
859,0,34,249411
860,0,33,249410
861,0,32,249409
862,0,31,249408
863,0,30,249407
864,0,29,249406
865,0,28,249405
866,0,27,249404
867,0,26,249403
868,0,25,249402
869,0,24,249401
870,0,23,249400
871,0,22,249399
872,0,21,249398
873,0,20,249397
874,0,19,249396
875,0,18,249395
876,0,17,249394
877,0,16,249393
878,0,15,249392
879,0,14,249391
880,0,13,249390
881,0,12,249389
882,0,11,249388
883,0,10,249387
884,0,9,249386
885,0,8,249385
886,0,7,249384
887,0,6,249383
888,0,5,249382
889,0,4,249381
890,0,3,249380
891,0,2,249379
892,0,1,249378
893,0,0,249377
894,0,1,249376
895,0,2,249375
896,0,3,249374
897,0,4,249373
898,0,5,249372
899,0,6,249371
900,0,7,249370
901,0,8,249369
902,0,9,249368
903,0,10,249367
904,0,11,249366
905,0,12,249365
906,0,13,249364
907,0,14,249363
908,0,15,249362
909,0,16,249361
910,0,17,249360
911,0,18,249359
912,0,19,249358
913,0,20,249357
914,0,21,249356
915,0,22,249355
916,0,23,249354
917,0,24,249353
918,0,25,249352
919,0,26,249351
920,0,27,249350
921,0,28,249349
922,0,29,249348
923,0,30,249347
924,0,31,249346
925,0,32,249345
926,0,33,249344
927,0,34,249343
928,0,35,249342
929,0,36,249341
930,0,37,249340
931,0,38,249339
932,0,39,249338
933,0,40,249337
934,0,41,249336
935,0,42,249335
936,0,43,249334
937,0,44,249333
938,0,45,249332
939,0,46,249331
940,0,47,249330
941,0,48,249329
942,0,49,249328
943,0,50,249327
944,0,51,249326
945,0,52,249325
946,0,53,249324
947,0,54,249323
948,0,55,249322
949,0,56,249321
950,0,57,249320
951,0,58,249319
952,0,59,249318
953,0,60,249317
954,0,61,249316
955,0,62,249315
956,0,63,249314
957,0,64,249313
958,0,65,249312
959,0,66,249311
960,0,67,249310
961,0,68,249309
962,0,69,249308
963,0,70,249307
964,0,71,249306
965,0,72,249305
966,0,73,249304
967,0,74,249303
968,0,75,249302
969,0,76,249301
970,0,77,249300
971,0,78,249299
972,0,79,249298
973,0,80,249297
974,0,81,249296
975,0,82,249295
976,0,83,249294
977,0,84,249293
978,0,85,249292
979,0,86,249291
980,0,85,249290
981,0,84,249289
982,0,83,249288
983,0,82,249287
984,0,81,249286
985,0,80,249285
986,0,79,249284
987,0,78,249283
988,0,77,249282
989,0,76,249281
990,0,75,249280
991,0,74,249279
992,0,73,249278
993,0,72,249277
994,0,71,249276
995,0,70,249275
996,0,69,249274
997,0,68,249273
998,0,67,249272
999,0,66,249271
1000,0,65,249270
1001,0,64,249269
1002,0,63,249268
1003,0,62,249267
1004,0,61,249266
1005,0,60,249265
1006,0,59,249264
1007,0,58,249263
1008,0,57,249262
1009,0,56,249261
1010,0,55,249260
1011,0,54,249259
1012,0,53,249258
1013,0,52,249257
1014,0,51,249256
1015,0,50,249255
1016,0,49,249254
1017,0,48,249253
1018,0,47,249252
1019,0,46,249251
1020,0,45,249250
1021,0,44,249249
1022,0,43,249248
1023,0,42,249247
1024,0,41,249246
1025,0,40,249245
1026,0,39,249244
1027,0,38,249243
1028,0,37,249242
1029,0,36,249241
1030,0,35,249240
1031,0,34,249239
1032,0,33,249238
1033,0,32,249237
1034,0,31,249236
1035,0,30,249235
1036,0,29,249234
1037,0,28,249233
1038,0,27,249232
1039,0,26,249231
1040,0,25,249230
1041,0,24,249229
1042,0,23,249228
1043,0,22,249227
1044,0,21,249226
1045,0,20,249225
1046,0,19,249224
1047,0,18,249223
1048,0,17,249222
1049,0,16,249221
1050,0,15,249220
1051,0,14,249219
1052,0,13,249218
1053,0,12,249217
1054,0,11,249216
1055,0,10,249215
1056,0,9,249214
1057,0,8,249213
1058,0,7,249212
1059,0,6,249211
1060,0,5,249210
1061,0,4,249209
1062,0,3,249208
1063,0,2,249207
1064,0,1,249206
1065,0,0,249205
1066,0,1,249204
1067,0,2,249203
1068,0,3,249202
1069,0,4,249201
1070,0,5,249200
1071,0,6,249199
1072,0,7,249198
1073,0,8,249197
1074,0,9,249196
1075,0,10,249195
1076,0,11,249194
1077,0,12,249193
1078,0,13,249192
1079,0,14,249191
1080,0,15,249190
1081,0,16,249189
1082,0,17,249188
1083,0,18,249187
1084,0,19,249186
1085,0,20,249185
1086,0,21,249184
1087,0,22,249183
1088,0,23,249182
1089,0,24,249181
1090,0,25,249180
1091,0,26,249179
1092,0,27,249178
1093,0,28,249177
1094,0,29,249176
1095,0,30,249175
1096,0,31,249174
1097,0,32,249173
1098,0,33,249172
1099,0,34,249171
1100,0,35,249170
1101,0,36,249169
1102,0,37,249168
1103,0,38,249167
1104,0,39,249166
1105,0,40,249165
1106,0,41,249164
1107,0,42,249163
1108,0,43,249162
1109,0,44,249161
1110,0,45,249160
1111,0,46,249159
1112,0,47,249158
1113,0,48,249157
1114,0,49,249156
1115,0,50,249155
1116,0,51,249154
1117,0,52,249153
1118,0,53,249152
1119,0,54,249151
1120,0,55,249150
1121,0,56,249149
1122,0,57,249148
1123,0,58,249147
1124,0,59,249146
1125,0,60,249145
1126,0,61,249144
1127,0,62,249143
1128,0,63,249142
1129,0,64,249141
1130,0,65,249140
1131,0,66,249139
1132,0,67,249138
1133,0,68,249137
1134,0,69,249136
1135,0,70,249135
1136,0,71,249134
1137,0,72,249133
1138,0,73,249132
1139,0,74,249131
1140,0,75,249130
1141,0,76,249129
1142,0,77,249128
1143,0,78,249127
1144,0,79,249126
1145,0,80,249125
1146,0,81,249124
1147,0,82,249123
1148,0,83,249122
1149,0,83,249121
1150,0,82,249120
1151,0,81,249119
1152,0,80,249118
1153,0,79,249117
1154,0,78,249116
1155,0,77,249115
1156,0,76,249114
1157,0,75,249113
1158,0,74,249112
1159,0,73,249111
1160,0,72,249110
1161,0,71,249109
1162,0,70,249108
1163,0,69,249107
1164,0,68,249106
1165,0,67,249105
1166,0,66,249104
1167,0,65,249103
1168,0,64,249102
1169,0,63,249101
1170,0,62,249100
1171,0,61,249099
1172,0,60,249098
1173,0,59,249097
1174,0,58,249096
1175,0,57,249095
1176,0,56,249094
1177,0,55,249093
1178,0,54,249092
1179,0,53,249091
1180,0,52,249090
1181,0,51,249089
1182,0,50,249088
1183,0,49,249087
1184,0,48,249086
1185,0,47,249085
1186,0,46,249084
1187,0,45,249083
1188,0,44,249082
1189,0,43,249081
1190,0,42,249080
1191,0,41,249079
1192,0,40,249078
1193,0,39,249077
1194,0,38,249076
1195,0,37,249075
1196,0,36,249074
1197,0,35,249073
1198,0,34,249072
1199,0,33,249071
1200,0,32,249070
1201,0,31,249069
1202,0,30,249068
1203,0,29,249067
1204,0,28,249066
1205,0,27,249065
1206,0,26,249064
1207,0,25,249063
1208,0,24,249062
1209,0,23,249061
1210,0,22,249060
1211,0,21,249059
1212,0,20,249058
1213,0,19,249057
1214,0,18,249056
1215,0,17,249055
1216,0,16,249054
1217,0,15,249053
1218,0,14,249052
1219,0,13,249051
1220,0,12,249050
1221,0,11,249049
1222,0,10,249048
1223,0,9,249047
1224,0,8,249046
1225,0,7,249045
1226,0,6,249044
1227,0,5,249043
1228,0,4,249042
1229,0,3,249041
1230,0,2,249040
1231,0,1,249039
1232,0,0,249038
1233,0,1,249037
1234,0,2,249036
1235,0,3,249035
1236,0,4,249034
1237,0,5,249033
1238,0,6,249032
1239,0,7,249031
1240,0,8,249030
1241,0,9,249029
1242,0,10,249028
1243,0,11,249027
1244,0,12,249026
1245,0,13,249025
1246,0,14,249024
1247,0,15,249023
1248,0,16,249022
1249,0,17,249021
1250,0,18,249020
1251,0,19,249019
1252,0,20,249018
1253,0,21,249017
1254,0,22,249016
1255,0,23,249015
1256,0,24,249014
1257,0,25,249013
1258,0,26,249012
1259,0,27,249011
1260,0,28,249010
1261,0,29,249009
1262,0,30,249008
1263,0,31,249007
1264,0,32,249006
1265,0,33,249005
1266,0,34,249004
1267,0,35,249003
1268,0,36,249002
1269,0,37,249001
1270,0,38,249000
1271,0,39,248999
1272,0,40,248998
1273,0,41,248997
1274,0,42,248996
1275,0,43,248995
1276,0,44,248994
1277,0,45,248993
1278,0,46,248992
1279,0,47,248991
1280,0,48,248990
1281,0,49,248989
1282,0,50,248988
1283,0,51,248987
1284,0,52,248986
1285,0,53,248985
1286,0,54,248984
1287,0,55,248983
1288,0,56,248982
1289,0,57,248981
1290,0,58,248980
1291,0,59,248979
1292,0,60,248978
1293,0,61,248977
1294,0,62,248976
1295,0,63,248975
1296,0,64,248974
1297,0,65,248973
1298,0,66,248972
1299,0,67,248971
1300,0,68,248970
1301,0,69,248969
1302,0,70,248968
1303,0,71,248967
1304,0,72,248966
1305,0,73,248965
1306,0,74,248964
1307,0,75,248963
1308,0,76,248962
1309,0,77,248961
1310,0,78,248960
1311,0,79,248959
1312,0,80,248958
1313,0,81,248957
1314,0,82,248956
1315,0,83,248955
1316,0,84,248954
1317,0,85,248953
1318,0,86,248952
1319,0,87,248951
1320,0,88,248950
1321,0,89,248949
1322,0,90,248948
1323,0,91,248947
1324,0,92,248946
1325,0,93,248945
1326,0,94,248944
1327,0,95,248943
1328,0,96,248942
1329,0,97,248941
1330,0,98,248940
1331,0,99,248939
1332,0,99,248938
1333,0,98,248937
1334,0,97,248936
1335,0,96,248935
1336,0,95,248934
1337,0,94,248933
1338,0,93,248932
1339,0,92,248931
1340,0,91,248930
1341,0,90,248929
1342,0,89,248928
1343,0,88,248927
1344,0,87,248926
1345,0,86,248925
1346,0,85,248924
1347,0,84,248923
1348,0,83,248922
1349,0,82,248921
1350,0,81,248920
1351,0,80,248919
1352,0,79,248918
1353,0,78,248917
1354,0,77,248916
1355,0,76,248915
1356,0,75,248914
1357,0,74,248913
1358,0,73,248912
1359,0,72,248911
