Position,Value,Nucleosome_Distance,Centromere_Distance
3,46,86,-148565
8,5,81,-148560
17,15,72,-148551
31,8,58,-148537
40,31,49,-148528
42,1,47,-148526
45,2,44,-148523
47,22,42,-148521
48,3,41,-148520
51,7,38,-148517
54,1,35,-148514
55,3,34,-148513
60,50,29,-148508
69,18,20,-148499
72,8,17,-148496
75,3,14,-148493
79,12,10,-148489
80,3,9,-148488
83,7,6,-148485
85,1,4,-148483
91,7,2,-148477
96,3,7,-148472
98,3,9,-148470
104,2,15,-148464
105,4,16,-148463
109,1,20,-148459
111,12,22,-148457
115,2,26,-148453
118,4,29,-148450
120,3,31,-148448
127,1,38,-148441
130,1,41,-148438
143,4,54,-148425
148,2,59,-148420
153,1,64,-148415
158,10,69,-148410
161,11,72,-148407
164,9,75,-148404
165,1,76,-148403
170,4,79,-148398
173,15,76,-148395
178,10,71,-148390
179,6,70,-148389
181,1,68,-148387
184,4,65,-148384
187,1,62,-148381
191,4,58,-148377
195,16,54,-148373
197,4,52,-148371
198,4,51,-148370
203,6,46,-148365
205,11,44,-148363
208,1,41,-148360
211,6,38,-148357
213,4,36,-148355
214,11,35,-148354
224,12,25,-148344
231,23,18,-148337
232,8,17,-148336
235,5,14,-148333
238,5,11,-148330
239,25,10,-148329
243,9,6,-148325
247,3,2,-148321
253,7,4,-148315
255,1,6,-148313
257,10,8,-148311
259,5,10,-148309
263,4,14,-148305
264,3,15,-148304
266,2,17,-148302
268,5,19,-148300
271,2,22,-148297
285,2,36,-148283
289,2,40,-148279
292,11,43,-148276
302,2,53,-148266
303,1,54,-148265
307,1,58,-148261
319,11,70,-148249
324,1,75,-148244
325,1,76,-148243
328,6,79,-148240
333,3,76,-148235
336,8,73,-148232
340,9,69,-148228
345,3,64,-148223
349,2,60,-148219
354,8,55,-148214
359,1,50,-148209
363,2,46,-148205
369,3,40,-148199
373,2,36,-148195
376,2,33,-148192
377,19,32,-148191
380,1,29,-148188
382,4,27,-148186
383,2,26,-148185
387,14,22,-148181
395,3,14,-148173
397,6,12,-148171
400,1,9,-148168
402,5,7,-148166
405,12,4,-148163
408,3,1,-148160
413,14,4,-148155
417,1,8,-148151
424,2,15,-148144
451,1,42,-148117
457,51,48,-148111
479,1,70,-148089
531,14,22,-148037
539,2,14,-148029
547,1,6,-148021
552,1,1,-148016
558,10,5,-148010
570,4,17,-147998
577,5,24,-147991
583,8,30,-147985
586,7,33,-147982
590,1,37,-147978
594,2,41,-147974
597,6,44,-147971
610,4,57,-147958
615,3,62,-147953
621,4,60,-147947
630,3,51,-147938
639,5,42,-147929
648,1,33,-147920
653,9,28,-147915
659,8,22,-147909
660,3,21,-147908
665,6,16,-147903
670,7,11,-147898
685,3,4,-147883
693,1,12,-147875
699,1,18,-147869
703,5,22,-147865
725,15,44,-147843
731,8,50,-147837
732,1,51,-147836
734,4,53,-147834
740,4,59,-147828
743,2,62,-147825
751,1,58,-147817
753,1,56,-147815
764,3,45,-147804
785,2,24,-147783
810,8,1,-147758
815,1,6,-147753
820,3,11,-147748
828,4,19,-147740
831,10,22,-147737
834,5,25,-147734
842,1,33,-147726
843,3,34,-147725
851,2,42,-147717
858,5,49,-147710
862,5,53,-147706
866,1,57,-147702
869,34,60,-147699
882,1,55,-147686
885,7,52,-147683
889,2,48,-147679
893,5,44,-147675
903,1,34,-147665
909,96,28,-147659
915,32,22,-147653
918,31,19,-147650
924,21,13,-147644
930,2,7,-147638
934,1,3,-147634
939,2,2,-147629
942,10,5,-147626
950,6,13,-147618
959,21,22,-147609
979,8,42,-147589
982,20,45,-147586
986,4,49,-147582
990,1,53,-147578
993,11,56,-147575
1003,1,66,-147565
1009,1,72,-147559
1013,30,68,-147555
1020,1,61,-147548
1028,4,53,-147540
1031,1,50,-147537
1037,1,44,-147531
1043,1,38,-147525
1050,3,31,-147518
1056,54,25,-147512
1062,21,19,-147506
1064,2,17,-147504
1068,21,13,-147500
1086,40,5,-147482
1096,2,15,-147472
1117,1,36,-147451
1118,1,37,-147450
1122,1,41,-147446
1133,1,52,-147435
1141,4,60,-147427
1189,2,36,-147379
1238,1,13,-147330
1240,2,15,-147328
1258,11,33,-147310
1265,7,40,-147303
1267,1,42,-147301
1276,2,51,-147292
1277,1,52,-147291
1280,16,55,-147288
1286,5,61,-147282
1289,12,64,-147279
1292,16,67,-147276
1294,1,69,-147274
1300,20,69,-147268
1304,3,65,-147264
1308,1,61,-147260
1316,4,53,-147252
1317,1,52,-147251
1320,1,49,-147248
1321,1,48,-147247
1325,4,44,-147243
1329,2,40,-147239
1333,2,36,-147235
1336,2,33,-147232
1342,3,27,-147226
1345,4,24,-147223
1355,1,14,-147213
1358,2,11,-147210
1363,1,6,-147205
1373,1,4,-147195
1374,8,5,-147194
1377,16,8,-147191
1416,7,47,-147152
1424,1,55,-147144
1436,23,67,-147132
1444,12,75,-147124
1448,8,79,-147120
1451,95,78,-147117
1454,2,75,-147114
1457,1,72,-147111
1459,1,70,-147109
1460,4,69,-147108
1469,1,60,-147099
1483,1,46,-147085
1498,1,31,-147070
1501,8,28,-147067
1510,1,19,-147058
1515,56,14,-147053
1523,5,6,-147045
1527,15,2,-147041
1534,4,5,-147034
1539,1,10,-147029
1544,11,15,-147024
1546,7,17,-147022
1547,1,18,-147021
1551,1,22,-147017
1555,2,26,-147013
1558,30,29,-147010
1569,282,40,-146999
1578,1,49,-146990
1583,10,54,-146985
1586,9,57,-146982
1589,20,60,-146979
1592,5,63,-146976
1597,27,68,-146971
1598,22,69,-146970
1599,1,70,-146969
1603,7,74,-146965
1605,55,76,-146963
1609,9,80,-146959
1610,37,79,-146958
1613,19,76,-146955
1618,30,71,-146950
1620,2,69,-146948
1621,1,68,-146947
1625,3,64,-146943
1669,12,20,-146899
1673,1,16,-146895
1685,5,4,-146883
1691,1,2,-146877
1701,1,12,-146867
1708,1,19,-146860
1713,1,24,-146855
1717,6,28,-146851
1722,2,33,-146846
1723,5,34,-146845
1725,8,36,-146843
1728,1,39,-146840
1730,1,41,-146838
1731,5,42,-146837
1735,5,46,-146833
1738,1,49,-146830
1741,8,52,-146827
1748,4,59,-146820
1749,3,60,-146819
1753,11,64,-146815
1760,9,71,-146808
1764,3,75,-146804
1766,3,77,-146802
1774,7,75,-146794
1776,2,73,-146792
1777,2,72,-146791
1782,1,67,-146786
1784,4,65,-146784
1788,5,61,-146780
1790,15,59,-146778
1794,6,55,-146774
1801,3,48,-146767
1803,1,46,-146765
1804,2,45,-146764
1808,3,41,-146760
1810,3,39,-146758
1812,14,37,-146756
1826,3,23,-146742
1843,3,6,-146725
1850,1,1,-146718
1854,1,5,-146714
1858,1,9,-146710
1862,3,13,-146706
1868,23,19,-146700
1869,1,20,-146699
1870,6,21,-146698
1876,9,27,-146692
1878,13,29,-146690
1880,4,31,-146688
1887,1,38,-146681
1888,7,39,-146680
1891,2,42,-146677
1893,3,44,-146675
1894,1,45,-146674
1895,8,46,-146673
1900,3,51,-146668
1908,1,59,-146660
1909,1,60,-146659
1912,1,63,-146656
1913,2,64,-146655
1920,6,71,-146648
1928,2,65,-146640
