chrom,Bin_Center,mean_density,sd_density,n_datasets,se_density
ChrVII,-595000.0,0.0,0.0,35,0.0
ChrVII,-594000.0,0.0,0.0,35,0.0
ChrVII,-593000.0,0.0,0.0,35,0.0
ChrVII,-592000.0,0.0,0.0,35,0.0
ChrVII,-591000.0,0.0,0.0,35,0.0
ChrVII,-590000.0,0.0,0.0,35,0.0
ChrVII,-589000.0,0.0,0.0,35,0.0
ChrVII,-588000.0,0.0,0.0,35,0.0
ChrVII,-587000.0,0.0,0.0,35,0.0
ChrVII,-586000.0,0.0,0.0,35,0.0
ChrVII,-585000.0,0.0,0.0,35,0.0
ChrVII,-584000.0,0.0,0.0,35,0.0
ChrVII,-583000.0,0.0,0.0,35,0.0
ChrVII,-582000.0,0.0,0.0,35,0.0
ChrVII,-581000.0,0.0,0.0,35,0.0
ChrVII,-580000.0,0.0,0.0,35,0.0
ChrVII,-579000.0,0.0,0.0,35,0.0
ChrVII,-578000.0,0.0,0.0,35,0.0
ChrVII,-577000.0,0.0,0.0,35,0.0
ChrVII,-576000.0,0.0,0.0,35,0.0
ChrVII,-575000.0,0.0,0.0,35,0.0
ChrVII,-574000.0,0.0,0.0,35,0.0
ChrVII,-573000.0,0.0,0.0,35,0.0
ChrVII,-572000.0,0.0,0.0,35,0.0
ChrVII,-571000.0,0.0,0.0,35,0.0
ChrVII,-570000.0,0.0,0.0,35,0.0
ChrVII,-569000.0,0.0,0.0,35,0.0
ChrVII,-568000.0,0.0,0.0,35,0.0
ChrVII,-567000.0,0.0,0.0,35,0.0
ChrVII,-566000.0,0.0,0.0,35,0.0
ChrVII,-565000.0,0.0,0.0,35,0.0
ChrVII,-564000.0,0.0,0.0,35,0.0
ChrVII,-563000.0,0.0,0.0,35,0.0
ChrVII,-562000.0,0.0,0.0,35,0.0
ChrVII,-561000.0,0.0,0.0,35,0.0
ChrVII,-560000.0,0.0,0.0,35,0.0
ChrVII,-559000.0,0.0,0.0,35,0.0
ChrVII,-558000.0,0.0,0.0,35,0.0
ChrVII,-557000.0,0.0,0.0,35,0.0
ChrVII,-556000.0,0.0,0.0,35,0.0
ChrVII,-555000.0,0.0,0.0,35,0.0
ChrVII,-554000.0,0.0,0.0,35,0.0
ChrVII,-553000.0,0.0,0.0,35,0.0
ChrVII,-552000.0,0.0,0.0,35,0.0
ChrVII,-551000.0,0.0,0.0,35,0.0
ChrVII,-550000.0,0.0,0.0,35,0.0
ChrVII,-549000.0,0.0,0.0,35,0.0
ChrVII,-548000.0,0.0,0.0,35,0.0
ChrVII,-547000.0,0.0,0.0,35,0.0
ChrVII,-546000.0,0.0,0.0,35,0.0
ChrVII,-545000.0,0.0,0.0,35,0.0
ChrVII,-544000.0,0.0,0.0,35,0.0
ChrVII,-543000.0,0.0,0.0,35,0.0
ChrVII,-542000.0,0.0,0.0,35,0.0
ChrVII,-541000.0,0.0,0.0,35,0.0
ChrVII,-540000.0,0.0,0.0,35,0.0
ChrVII,-539000.0,0.0,0.0,35,0.0
ChrVII,-538000.0,0.0,0.0,35,0.0
ChrVII,-537000.0,0.0,0.0,35,0.0
ChrVII,-536000.0,0.0,0.0,35,0.0
ChrVII,-535000.0,0.0,0.0,35,0.0
ChrVII,-534000.0,0.0,0.0,35,0.0
ChrVII,-533000.0,0.0,0.0,35,0.0
ChrVII,-532000.0,0.0,0.0,35,0.0
ChrVII,-531000.0,0.0,0.0,35,0.0
ChrVII,-530000.0,0.0,0.0,35,0.0
ChrVII,-529000.0,0.0,0.0,35,0.0
ChrVII,-528000.0,0.0,0.0,35,0.0
ChrVII,-527000.0,0.0,0.0,35,0.0
ChrVII,-526000.0,0.0,0.0,35,0.0
ChrVII,-525000.0,0.0,0.0,35,0.0
ChrVII,-524000.0,0.0,0.0,35,0.0
ChrVII,-523000.0,0.0,0.0,35,0.0
ChrVII,-522000.0,0.0,0.0,35,0.0
ChrVII,-521000.0,0.0,0.0,35,0.0
ChrVII,-520000.0,0.0,0.0,35,0.0
ChrVII,-519000.0,0.0,0.0,35,0.0
ChrVII,-518000.0,0.0,0.0,35,0.0
ChrVII,-517000.0,0.0,0.0,35,0.0
ChrVII,-516000.0,0.0,0.0,35,0.0
ChrVII,-515000.0,0.0,0.0,35,0.0
ChrVII,-514000.0,0.0,0.0,35,0.0
ChrVII,-513000.0,0.0,0.0,35,0.0
ChrVII,-512000.0,0.0,0.0,35,0.0
ChrVII,-511000.0,0.0,0.0,35,0.0
ChrVII,-510000.0,0.0,0.0,35,0.0
ChrVII,-509000.0,0.0,0.0,35,0.0
ChrVII,-508000.0,0.0,0.0,35,0.0
ChrVII,-507000.0,0.0,0.0,35,0.0
ChrVII,-506000.0,0.0,0.0,35,0.0
ChrVII,-505000.0,0.0,0.0,35,0.0
ChrVII,-504000.0,0.0,0.0,35,0.0
ChrVII,-503000.0,0.0,0.0,35,0.0
ChrVII,-502000.0,0.0,0.0,35,0.0
ChrVII,-501000.0,0.0,0.0,35,0.0
ChrVII,-500000.0,0.0,0.0,35,0.0
ChrVII,-499000.0,0.0,0.0,35,0.0
ChrVII,-498000.0,0.0,0.0,35,0.0
