chrom,distance,mean_density,sd_density,n_datasets,se_density
ChrXII,0,0.05574803853633453,0.016042772073357317,35,0.0027117234150875525
ChrXII,1,0.056881328654134124,0.016679067567383236,35,0.00281927698389567
ChrXII,2,0.054764512595837846,0.015925176040624614,35,0.002691846057606905
ChrXII,3,0.0571450924290855,0.016050815745067573,35,0.0027130830437614648
ChrXII,4,0.05487627690725793,0.016524279573328794,35,0.002793113037544469
ChrXII,5,0.056720388045689206,0.01589853239941197,35,0.0026873424602604393
ChrXII,6,0.05507521738158567,0.016432383032373293,35,0.0027775796870277945
ChrXII,7,0.057241209736906766,0.01657057729042766,35,0.0028009387800625343
ChrXII,8,0.0548472181862887,0.015767435583533537,35,0.002665183053916236
ChrXII,9,0.05602074345619951,0.01645258808339536,35,0.0027809949639954557
ChrXII,10,0.05666897646243596,0.016439693576399107,35,0.0027788153945053537
ChrXII,11,0.05669579989717678,0.01603302323240409,35,0.002710075560205494
ChrXII,12,0.05486733576234432,0.016434642791761614,35,0.002777961656080135
ChrXII,13,0.05744685606991972,0.016356706021730484,35,0.002764787937521813
ChrXII,14,0.05661085902049753,0.016798887405706304,35,0.0028395302331275948
ChrXII,15,0.056836622929566094,0.016767675953437335,35,0.0028342545347913198
ChrXII,16,0.056534859288731885,0.01651355388301405,35,0.0027913000649835884
ChrXII,17,0.056378389252743764,0.01703313907234033,35,0.0028791259916741935
ChrXII,18,0.055526745199722775,0.016384667741408784,35,0.0027695143307929415
ChrXII,19,0.057893913315600024,0.016686567797074496,35,0.002820544754102672
ChrXII,20,0.056867916936763706,0.0170612363530905,35,0.0028838752989486546
ChrXII,21,0.05722332744707957,0.01690275065085766,35,0.002857086325837511
ChrXII,22,0.057737443279611916,0.016840958170408944,35,0.0028466414902852187
ChrXII,23,0.05720991572970915,0.01691844267056661,35,0.0028597387612819716
ChrXII,24,0.05653485928873188,0.017291949249004852,35,0.0029228728960692054
ChrXII,25,0.05837673514093475,0.016925316573624095,35,0.0028609006629650964
ChrXII,26,0.057330621186042825,0.017295329418319686,35,0.0029234442489648326
ChrXII,27,0.05985649462413658,0.017974568585566945,35,0.0030382566234002876
ChrXII,28,0.0580079129132485,0.017158838638764044,35,0.0029003730963503
ChrXII,29,0.05977825960614252,0.016911035547439016,35,0.0028584867289566545
ChrXII,30,0.05894002727049195,0.0177283146848812,35,0.0029966321170186772
ChrXII,31,0.060287904866218066,0.018166764957120194,35,0.00307074373963261
ChrXII,32,0.05997720008047026,0.017691741282163505,35,0.002990450083635325
ChrXII,33,0.061524018150524135,0.018724340364564118,35,0.0031649911852192534
ChrXII,34,0.06043543375729258,0.018234509590735776,35,0.0030821946726996563
ChrXII,35,0.0631781299595413,0.018387034154617045,35,0.0031079760295226297
ChrXII,36,0.06052708049265703,0.017245171726459903,35,0.0029149660516283008
ChrXII,37,0.06309095379663361,0.01893442687486341,35,0.003200502286827356
ChrXII,38,0.06273777857254617,0.018991454016531916,35,0.003210141633110585
ChrXII,39,0.06312224780383123,0.019002258154247966,35,0.0032119678657024633
ChrXII,40,0.063922480273599,0.01852680885350538,35,0.0031316022658164043
ChrXII,41,0.06295952697642701,0.019229845295831854,35,0.003250437113908688
ChrXII,42,0.06282092838700298,0.018848936186264327,35,0.0031860517229855187
ChrXII,43,0.0643321001039489,0.019088735500197632,35,0.0032265852050758614
ChrXII,44,0.06388277241888064,0.019537133548436898,35,0.003302378308732137
ChrXII,45,0.06473001218326305,0.020029576762917098,35,0.0033856164043181624
ChrXII,46,0.06559960655884288,0.02028324061570496,35,0.0034284934212090606
ChrXII,47,0.06549453988621498,0.0199467645249847,35,0.0033716185812717315
ChrXII,48,0.065268758313121,0.02039437060917264,35,0.0034472778185704934
ChrXII,49,0.06717113572602185,0.020282531224030384,35,0.003428373512130653
ChrXII,50,0.06573596968714718,0.020894464627088317,35,0.0035318091359716358
ChrXII,51,0.06691182223613172,0.02065489191877917,35,0.0034913139572227735
ChrXII,52,0.06560407748108237,0.02055590448345629,35,0.0034745820267972146
ChrXII,53,0.06834698827500636,0.021551257793574332,35,0.00364282744379809
ChrXII,54,0.06700571160316089,0.021129813457971932,35,0.0035715903491249697
ChrXII,55,0.06812344216303214,0.021609763489145513,35,0.0036527167113056566
ChrXII,56,0.06916069612259264,0.021152175846547976,35,0.003575370282695157
ChrXII,57,0.06992298836442483,0.022142972353953294,35,0.0037428454594559085
ChrXII,58,0.07013088624856088,0.021829928950346716,35,0.0036899314665613495
ChrXII,59,0.07041478981076818,0.021827368206012762,35,0.0036894986217675266
ChrXII,60,0.06951613444063169,0.02130459267049862,35,0.0036011334281459756
ChrXII,61,0.07240435020733897,0.02273053182031913,35,0.0038421611360369293
ChrXII,62,0.06937530039008792,0.02179619263424424,35,0.0036842289883427743
ChrXII,63,0.07258095163579864,0.022658882010389906,35,0.0038300501076944946
ChrXII,64,0.07046385621778772,0.022234945259754592,35,0.003758391717987451
ChrXII,65,0.07185061098341705,0.022330785150591292,35,0.0037745916162901217
ChrXII,66,0.0727478738783324,0.02317756067005357,35,0.003917722802904821
ChrXII,67,0.07289541399443562,0.02392354441980252,35,0.004043817070916552
ChrXII,68,0.07281063732232917,0.02392866314095035,35,0.004044682292707924
ChrXII,69,0.0752217156521396,0.024125965461830025,35,0.004078032471899777
